,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0
2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
9,,1,1,1,1,1,1,1,,1,,0,1,1,1,,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,0,1,,1,1,,1,,1,1,1,1,1,1,
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1
16,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
21,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
22,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
33,1,1,1,1,,1,1,0,1,1,1,1,,,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
